GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1835311723	2023-10-24 23:03:43.269139	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Khavda-Dhordo, Kachchh, Gujarat, IN (23.78, 69.667)	L27243586	P	23.7799637	69.6672420	2023-09-25	10:16:00	obsr1996915	S150723742	Traveling	P22	EBIRD_IND	40	2.220		2	1	G10891295	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1837223481	2023-09-28 04:20:03.660401	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr1173703	S150912172	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0		Seen while standing within the campus of Dholavira heritage resort		
URN:CornellLabOfOrnithology:EBIRD:OBS1836069666	2023-09-28 04:20:03.660401	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr226203	S150803069	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833389052	2023-12-11 08:49:31.952655	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Mandvi, Kachchh IN-GJ 23.04252, 69.34228	L27208251	P	23.0425190	69.3422760	2023-09-23	07:02:00	obsr686540	S150531388	Traveling	P22	EBIRD	262	29.109		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890180368	2023-12-04 12:59:29.897111	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T14G4	L27209245	P	23.0415494	69.3437180	2023-09-23	07:05:00	obsr4399854	S155739401	Traveling	P22	EBIRD_IND	58	1.000		3	1	G10878491	0	1	0		Team 14 Grid 4		
URN:CornellLabOfOrnithology:EBIRD:OBS1834661149	2023-10-20 12:51:49.81355	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 41, Kachchh IN-GJ 23.64108, 68.54357	L27207048	P	23.6410760	68.5435730	2023-09-23	07:27:00	obsr1777443	S150661621	Traveling	P22	EBIRD	25	1.976		1	1	G10886581	0	1	0			Shikra / sparrowhawk	
URN:CornellLabOfOrnithology:EBIRD:OBS1839549559	2023-10-01 05:28:05.927328	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr826272	S151145558	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833445596	2023-10-19 04:11:19.327592	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T14G4	L27209245	P	23.0415494	69.3437180	2023-09-23	07:05:00	obsr1173703	S150535956	Traveling	P22	EBIRD_IND	58	1.000		3	1	G10878491	0	1	0		Team 14 Grid 4		
URN:CornellLabOfOrnithology:EBIRD:OBS1834827918	2023-10-20 10:55:29.680708	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 41, Kachchh IN-GJ 23.64108, 68.54357	L27207048	P	23.6410760	68.5435730	2023-09-23	07:27:00	obsr1760253	S150678128	Traveling	P22	EBIRD	25	1.976		1	1	G10886581	0	1	0			Shikra / sparrowhawk	
URN:CornellLabOfOrnithology:EBIRD:OBS1837539684	2023-09-28 14:18:30.297984	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr645135	S150944738	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0		Seen while standing within the campus of Dholavira heritage resort		
