TEAM,POINT,SAMPLING.EVENT.IDENTIFIER
1,1,S118424309
1,2,S118547656
1,3,S118421198
1,4,S118477782
1,5,S118437061
1,6,S118428604
1,7,S118481818
1,8,S118480990
1,9,S118492332
1,10,S118489949
2,1,S118874526
2,2,S118415375
2,3,S118428672
2,4,S118422594
2,6,S118421374
2,7,S118492168
2,9,S118493614
2,10,S118480746
3,1,S118503539
3,2,S118504076
3,6,S118434838
3,7,S118433415
3,8,S118435262
3,9,S118435623
3,10,S118436237
4,2,S118416743
4,3,S118415794
4,4,S118417489
4,5,S118418992
4,6,S118424996
4,7,S118480206
4,8,S118428466
4,9,S118420860
4,10,S118485225
4,11,S118483977
5,1,S118450430
5,2,S118413702
5,3,S118450428
5,4,S118450431
5,5,S118498721
5,6,S118498719
5,7,S118498720
5,8,S118450427
5,9,S118498718
5,10,S118498722
6,1,S118415181
6,2,S118581121
6,3,S118416156
6,4,S118424330
6,5,S118481304
6,6,S118428893
6,7,S118480205
6,8,S118417095
6,9,S118484959
7,1,S118420619
7,2,S118424068
7,3,S118418321
7,4,S118411681
7,5,S118426235
7,6,S118414795
7,7,S118487982
7,8,S118432845
7,9,S118487978
7,10,S118727647
7,11,S118489759
8,1,S118494643
8,2,S118494644
8,3,S118449721
8,4,S118449718
8,5,S118493860
8,6,S118493861
8,7,S118449720
8,8,S118449719
8,9,S118493857
8,10,S118493859
9,1,S118412271
9,2,S118479660
9,3,S118418102
9,4,S118485891
9,5,S118418511
9,6,S118486390
9,7,S118666809
9,8,S118418665
9,9,S118417911
9,10,S118485995
10,1,S118499726
10,3,S118498211
10,4,S118489202
10,5,S118498651
10,6,S118498841
10,8,S118499131
10,9,S118497665
10,10,S118496893
11,1,S118829902
11,2,S118422296
11,3,S118488799
11,4,S118414611
11,5,S118420365
11,6,S118416029
11,7,S118483651
11,8,S118494057
11,9,S118480586
11,10,S118476727
12,1,S118552060
12,2,S118605182
12,3,S118418037
12,4,S118552058
12,5,S118418036
12,6,S118552057
12,7,S118552059
12,8,S118552061
12,9,S118552056
12,10,S118552055
13,1,S118438831
13,2,S118438747
13,3,S118416898
13,4,S118492224
13,5,S118416921
13,6,S118492458
13,7,S118416963
13,8,S118483853
13,9,S118483602
13,10,S118483799
14,1,S118470560
14,2,S118470777
14,3,S118470814
14,4,S118552771
14,5,S118552755
14,6,S118470941
14,7,S118554653
14,8,S118554629
14,9,S118470871
14,10,S118480961
14,11,S118480971
15,1,S118421450
15,2,S118482762
15,3,S118486178
15,4,S118414478
15,5,S118486151
15,6,S118422235
15,7,S118425543
15,8,S118486125
15,9,S118484767
15,10,S118486118
17,1,S118448892
17,2,S118449208
17,3,S118449245
17,4,S118449685
17,5,S118449601
17,6,S118493312
17,7,S118493671
17,8,S118493787
17,9,S118494383
17,10,S118494703
18,1,S118507399
18,2,S118445428
18,3,S118504394
18,4,S118445637
18,5,S118496551
18,6,S118496582
18,7,S118448281
18,8,S118496299
18,9,S118496252
18,10,S118500754
19,1,S118412803
19,2,S118414797
19,3,S118478042
19,4,S118416516
19,5,S118418523
19,6,S118481679
19,7,S118425263
19,8,S118487162
19,9,S118487115
19,10,S118491229
20,1,S118602981
20,2,S118602972
20,3,S118602975
20,4,S118602982
20,5,S118602974
20,6,S118602980
20,7,S118602978
20,8,S118602979
20,9,S118602976
20,10,S118602973
20,11,S118602977
21,1,S118417318
21,2,S118417317
21,3,S118492100
21,4,S118417316
21,5,S118430967
21,6,S118430968
21,7,S118492096
21,8,S118493111
21,9,S118493113
21,10,S118493112
22,1,S118495126
22,2,S118490634
22,3,S118478788
22,4,S118484532
22,5,S118484433
22,6,S118430350
22,7,S118417518
22,8,S118415371
22,9,S118421161
22,10,S118412877
23,1,S118485571
23,2,S118485573
23,3,S118577847
23,4,S118480367
23,5,S118418716
23,6,S118485546
23,7,S118420828
23,8,S118415390
23,9,S118472711
23,10,S118413284
23,11,S118424371
24,1,S118545870
24,2,S118545871
24,3,S118545362
24,4,S118544945
24,5,S118545160
24,6,S118544657
24,7,S118544791
24,8,S118544559
24,9,S118544354
24,10,S118544473
25,1,S118416226
25,2,S118418146
25,3,S118414217
25,4,S118420030
25,5,S118480938
25,6,S118426284
25,7,S118483616
25,8,S118485629
25,9,S118489991
25,10,S118492902
26,1,S118417765
26,2,S118485808
26,3,S118416501
26,4,S118484050
26,6,S118419185
26,7,S118481217
26,8,S118441192
26,9,S118441463
27,1,S118485860
27,2,S118484033
27,3,S118412972
27,4,S118482070
27,5,S118416108
27,6,S118479674
27,7,S118416616
27,8,S118425511
27,9,S118481206
27,10,S118420709
