"year","COMMON.NAME","count","se","cil","cir"
2022,"European Roller",182469.763677083,20442.330364092,142402.796163462,222536.731190703
2022,"Spotted Flycatcher",63932.3281545822,8546.34750021988,47181.4870541512,80683.1692550132
2022,"Rufous-tailed Scrub-Robin",25991.5192885735,5762.86658038423,14696.3007910204,37286.7377861266
2022,"Greater Whitethroat",15445.8067203162,3831.53658074992,7935.99502204639,22955.6184185861
2022,"Red-backed Shrike",13603.0925951635,3058.53877826902,7608.35658975621,19597.8286005708
2022,"Common Cuckoo",9310.0328973862,2506.82661394856,4396.65273404701,14223.4130607254
2023,"European Roller",351619.594201025,32996.8778399264,286945.713634769,416293.47476728
2023,"Spotted Flycatcher",113465.473713637,14644.4988386881,84762.2559898085,142168.691437466
2023,"Greater Whitethroat",41885.8733767672,9557.93040711151,23152.3297788286,60619.4169747057
2023,"Red-backed Shrike",25095.8937557951,5073.13185667308,15152.5553167159,35039.2321948744
2023,"Rufous-tailed Scrub-Robin",20586.9086276932,6268.02817016975,8301.57341416045,32872.2438412259
2023,"Common Cuckoo",15958.6250237068,3937.0446239417,8242.01756078104,23675.2324866325
